2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over,%,No qualifications,%,Level 1 and entry level qualifications,%,Level 2 qualifications,%,Apprenticeship,%,Level 3 qualifications,%,Level 4 qualifications or above,%,Other qualifications,%
North Northamptonshire 001A,E01027033,1595,100,185,11.6,162,10.2,208,13,87,5.5,271,17,648,40.6,34,2.1
North Northamptonshire 001B,E01027043,1980,100,292,14.7,185,9.3,283,14.3,89,4.5,311,15.7,766,38.7,54,2.7
North Northamptonshire 001C,E01027050,1800,100,249,13.8,163,9.1,253,14.1,83,4.6,268,14.9,739,41.1,45,2.5
North Northamptonshire 002A,E01026971,1509,100,417,27.6,168,11.1,187,12.4,105,7,266,17.6,310,20.5,56,3.7
North Northamptonshire 002B,E01026979,1352,100,227,16.8,126,9.3,197,14.6,95,7,257,19,426,31.5,24,1.8
North Northamptonshire 002C,E01026980,1404,100,190,13.5,132,9.4,193,13.7,92,6.6,258,18.4,517,36.8,22,1.6
North Northamptonshire 002D,E01026982,1755,100,440,25.1,236,13.4,276,15.7,127,7.2,264,15,328,18.7,84,4.8
North Northamptonshire 003A,E01026969,1455,100,446,30.7,206,14.2,206,14.2,86,5.9,202,13.9,262,18,47,3.2
North Northamptonshire 003B,E01026970,1346,100,287,21.3,191,14.2,228,16.9,100,7.4,227,16.9,272,20.2,41,3
North Northamptonshire 003C,E01026972,1470,100,358,24.4,193,13.1,252,17.1,105,7.1,239,16.3,268,18.2,55,3.7
North Northamptonshire 003D,E01026976,1294,100,365,28.2,199,15.4,203,15.7,80,6.2,194,15,195,15.1,58,4.5
North Northamptonshire 003E,E01026981,1046,100,252,24.1,157,15,156,14.9,86,8.2,181,17.3,189,18.1,25,2.4
North Northamptonshire 003F,E01026983,910,100,249,27.4,139,15.3,157,17.3,65,7.1,120,13.2,142,15.6,38,4.2
North Northamptonshire 004A,E01026962,1186,100,336,28.3,189,15.9,157,13.2,66,5.6,183,15.4,200,16.9,55,4.6
North Northamptonshire 004B,E01026973,1188,100,319,26.9,156,13.1,187,15.7,71,6,200,16.8,212,17.8,43,3.6
North Northamptonshire 004C,E01026974,962,100,239,24.8,134,13.9,128,13.3,77,8,166,17.3,191,19.9,27,2.8
North Northamptonshire 004D,E01026975,1123,100,352,31.3,146,13,160,14.2,74,6.6,174,15.5,173,15.4,44,3.9
North Northamptonshire 004E,E01026984,1532,100,497,32.4,218,14.2,242,15.8,93,6.1,217,14.2,219,14.3,46,3
North Northamptonshire 004F,E01026985,1613,100,343,21.3,208,12.9,255,15.8,104,6.4,281,17.4,366,22.7,56,3.5
North Northamptonshire 005A,E01026949,1167,100,323,27.7,150,12.9,160,13.7,80,6.9,180,15.4,232,19.9,42,3.6
