2021 super output area - lower layer,mnemonic,Total: All households,%,Household is not deprived in any dimension,%,Household is deprived in one dimension,%,Household is deprived in two dimensions,%,Household is deprived in three dimensions,%,Household is deprived in four dimensions,%
North Northamptonshire 002A,E01026971,733,100,319,43.5,258,35.2,126,17.2,27,3.7,3,0.4
North Northamptonshire 002B,E01026979,669,100,406,60.7,182,27.2,65,9.7,16,2.4,0,0
North Northamptonshire 002C,E01026980,695,100,398,57.3,232,33.4,55,7.9,10,1.4,0,0
North Northamptonshire 002D,E01026982,883,100,403,45.6,295,33.4,136,15.4,48,5.4,1,0.1
North Northamptonshire 003A,E01026969,792,100,287,36.2,273,34.5,183,23.1,46,5.8,3,0.4
North Northamptonshire 003B,E01026970,664,100,324,48.8,217,32.7,94,14.2,28,4.2,1,0.2
North Northamptonshire 003C,E01026972,757,100,322,42.5,275,36.3,128,16.9,32,4.2,0,0
North Northamptonshire 003D,E01026976,629,100,259,41.2,226,35.9,108,17.2,34,5.4,2,0.3
North Northamptonshire 003E,E01026981,503,100,241,47.9,173,34.4,78,15.5,11,2.2,0,0
North Northamptonshire 003F,E01026983,451,100,180,39.9,164,36.4,79,17.5,28,6.2,0,0
North Northamptonshire 006A,E01026957,843,100,321,38.1,309,36.7,157,18.6,53,6.3,3,0.4
North Northamptonshire 006B,E01026958,780,100,335,42.9,278,35.6,123,15.8,42,5.4,2,0.3
North Northamptonshire 006C,E01035393,637,100,480,75.4,138,21.7,18,2.8,1,0.2,0,0
North Northamptonshire 006D,E01035394,639,100,445,69.6,154,24.1,35,5.5,5,0.8,0,0
North Northamptonshire 006E,E01035395,567,100,330,58.2,175,30.9,58,10.2,4,0.7,0,0
North Northamptonshire 006F,E01035396,517,100,322,62.3,143,27.7,40,7.7,12,2.3,0,0
North Northamptonshire 006G,E01035397,734,100,436,59.4,226,30.8,56,7.6,16,2.2,0,0
North Northamptonshire 006H,E01035398,795,100,455,57.2,244,30.7,87,10.9,9,1.1,0,0
North Northamptonshire 004A,E01026962,595,100,246,41.3,192,32.3,123,20.7,33,5.5,1,0.2
North Northamptonshire 004B,E01026973,591,100,234,39.6,232,39.3,110,18.6,15,2.5,0,0
North Northamptonshire 004C,E01026974,485,100,209,43.1,194,40,73,15.1,9,1.9,0,0
North Northamptonshire 004D,E01026975,647,100,223,34.5,237,36.6,142,21.9,45,7,0,0
North Northamptonshire 004E,E01026984,804,100,265,33,311,38.7,170,21.1,53,6.6,5,0.6
North Northamptonshire 004F,E01026985,850,100,393,46.2,311,36.6,120,14.1,26,3.1,0,0
North Northamptonshire 005A,E01026949,648,100,257,39.7,220,34,115,17.7,51,7.9,5,0.8
North Northamptonshire 005B,E01026950,641,100,209,32.6,213,33.2,156,24.3,58,9,5,0.8
North Northamptonshire 005C,E01026951,515,100,185,35.9,182,35.3,108,21,38,7.4,2,0.4
North Northamptonshire 005D,E01026952,613,100,281,45.8,220,35.9,84,13.7,25,4.1,3,0.5
North Northamptonshire 007A,E01026959,642,100,247,38.5,228,35.5,129,20.1,38,5.9,0,0
North Northamptonshire 007B,E01026960,626,100,181,28.9,245,39.1,139,22.2,57,9.1,4,0.6
North Northamptonshire 007C,E01026961,499,100,163,32.7,199,39.9,98,19.6,35,7,4,0.8
North Northamptonshire 007D,E01026965,601,100,214,35.6,209,34.8,128,21.3,48,8,2,0.3
North Northamptonshire 007E,E01026966,575,100,218,37.9,231,40.2,92,16,33,5.7,1,0.2
North Northamptonshire 007F,E01026967,726,100,288,39.7,254,35,136,18.7,47,6.5,1,0.1
North Northamptonshire 007G,E01026968,695,100,190,27.3,274,39.4,146,21,81,11.7,4,0.6
North Northamptonshire 001A,E01027033,839,100,477,56.9,270,32.2,72,8.6,19,2.3,1,0.1
North Northamptonshire 001B,E01027043,974,100,541,55.5,308,31.6,111,11.4,13,1.3,1,0.1
North Northamptonshire 001C,E01027050,932,100,528,56.7,299,32.1,92,9.9,12,1.3,1,0.1
North Northamptonshire 010A,E01027031,875,100,536,61.3,272,31.1,54,6.2,13,1.5,0,0
North Northamptonshire 010B,E01027044,923,100,579,62.7,244,26.4,79,8.6,20,2.2,1,0.1
North Northamptonshire 010C,E01027046,681,100,427,62.7,204,30,42,6.2,8,1.2,0,0
North Northamptonshire 010D,E01027047,588,100,264,44.9,205,34.9,102,17.3,16,2.7,1,0.2
North Northamptonshire 010E,E01027048,684,100,419,61.3,192,28.1,66,9.6,7,1,0,0
North Northamptonshire 010F,E01027049,522,100,289,55.4,183,35.1,47,9,3,0.6,0,0
North Northamptonshire 011A,E01027032,815,100,462,56.7,258,31.7,87,10.7,8,1,0,0
North Northamptonshire 011B,E01027045,889,100,474,53.3,292,32.8,101,11.4,21,2.4,1,0.1
North Northamptonshire 011C,E01027075,801,100,452,56.4,264,33,76,9.5,9,1.1,0,0
North Northamptonshire 011D,E01027076,977,100,466,47.7,350,35.8,134,13.7,24,2.5,3,0.3
North Northamptonshire 011E,E01035407,595,100,353,59.3,190,31.9,41,6.9,11,1.8,0,0
North Northamptonshire 011F,E01035408,619,100,426,68.8,148,23.9,38,6.1,7,1.1,0,0
North Northamptonshire 024A,E01027057,957,100,546,57.1,297,31,94,9.8,20,2.1,0,0
North Northamptonshire 024B,E01027074,877,100,468,53.4,295,33.6,101,11.5,12,1.4,1,0.1
North Northamptonshire 024C,E01027078,912,100,456,50,318,34.9,116,12.7,20,2.2,2,0.2
North Northamptonshire 025A,E01027051,921,100,473,51.4,293,31.8,127,13.8,26,2.8,2,0.2
North Northamptonshire 025B,E01027052,622,100,345,55.5,206,33.1,64,10.3,7,1.1,0,0
North Northamptonshire 025C,E01027053,918,100,532,58,293,31.9,74,8.1,17,1.9,2,0.2
North Northamptonshire 025D,E01027054,508,100,235,46.3,176,34.6,82,16.1,14,2.8,1,0.2
North Northamptonshire 025E,E01027055,557,100,259,46.5,198,35.5,89,16,10,1.8,1,0.2
North Northamptonshire 025F,E01027056,638,100,245,38.4,235,36.8,127,19.9,29,4.5,2,0.3
North Northamptonshire 027A,E01027038,826,100,363,43.9,295,35.7,139,16.8,29,3.5,0,0
North Northamptonshire 027B,E01027039,870,100,396,45.5,315,36.2,130,14.9,25,2.9,4,0.5
North Northamptonshire 027C,E01027040,790,100,394,49.9,272,34.4,100,12.7,22,2.8,2,0.3
North Northamptonshire 027D,E01027041,755,100,294,38.9,269,35.6,149,19.7,39,5.2,4,0.5
North Northamptonshire 027E,E01027042,718,100,430,59.9,216,30.1,61,8.5,11,1.5,0,0
North Northamptonshire 035A,E01027034,755,100,328,43.4,279,37,126,16.7,22,2.9,0,0
North Northamptonshire 035B,E01027035,639,100,275,43,233,36.5,105,16.4,26,4.1,0,0
North Northamptonshire 035C,E01027037,977,100,589,60.3,299,30.6,79,8.1,10,1,0,0
North Northamptonshire 035D,E01033244,1051,100,639,60.8,315,30,88,8.4,9,0.9,0,0
North Northamptonshire 035E,E01033245,491,100,260,53,160,32.6,64,13,7,1.4,0,0
North Northamptonshire 034A,E01027061,1108,100,581,52.4,355,32,141,12.7,31,2.8,0,0
North Northamptonshire 034B,E01027062,1014,100,496,48.9,336,33.1,147,14.5,31,3.1,4,0.4
North Northamptonshire 034C,E01027063,765,100,428,55.9,245,32,78,10.2,11,1.4,3,0.4
North Northamptonshire 034D,E01027064,670,100,351,52.4,227,33.9,82,12.2,10,1.5,0,0
North Northamptonshire 034E,E01027072,646,100,209,32.4,260,40.2,142,22,34,5.3,1,0.2
North Northamptonshire 034F,E01027073,906,100,420,46.4,329,36.3,135,14.9,22,2.4,0,0
North Northamptonshire 037A,E01027058,730,100,295,40.4,269,36.8,124,17,41,5.6,1,0.1
North Northamptonshire 037B,E01027059,803,100,358,44.6,303,37.7,122,15.2,20,2.5,0,0
North Northamptonshire 037C,E01027060,1028,100,418,40.7,383,37.3,185,18,39,3.8,3,0.3
North Northamptonshire 037D,E01027065,922,100,379,41.1,318,34.5,168,18.2,51,5.5,6,0.7
North Northamptonshire 037E,E01027069,899,100,356,39.6,313,34.8,157,17.5,61,6.8,12,1.3
North Northamptonshire 039A,E01027066,795,100,442,55.6,248,31.2,95,11.9,9,1.1,1,0.1
North Northamptonshire 039B,E01027067,756,100,376,49.7,274,36.2,98,13,8,1.1,0,0
North Northamptonshire 039C,E01027070,675,100,329,48.7,251,37.2,88,13,7,1,0,0
North Northamptonshire 039D,E01027071,598,100,297,49.7,199,33.3,84,14,18,3,0,0
North Northamptonshire 039E,E01035409,576,100,353,61.3,170,29.5,45,7.8,8,1.4,0,0
North Northamptonshire 039F,E01035410,701,100,434,61.9,205,29.2,55,7.8,7,1,0,0
North Northamptonshire 012A,E01027090,714,100,415,58.1,220,30.8,64,9,15,2.1,0,0
North Northamptonshire 012B,E01027103,720,100,419,58.2,204,28.3,85,11.8,12,1.7,0,0
North Northamptonshire 012C,E01027129,994,100,567,57,316,31.8,94,9.5,16,1.6,1,0.1
North Northamptonshire 013A,E01027094,669,100,334,49.9,225,33.6,94,14.1,16,2.4,0,0
North Northamptonshire 013B,E01027095,667,100,331,49.6,217,32.5,101,15.1,16,2.4,2,0.3
North Northamptonshire 013C,E01027107,585,100,299,51.1,212,36.2,59,10.1,14,2.4,1,0.2
North Northamptonshire 013D,E01027108,544,100,281,51.7,210,38.6,48,8.8,5,0.9,0,0
North Northamptonshire 013E,E01027109,508,100,258,50.8,175,34.4,60,11.8,15,3,0,0
North Northamptonshire 013F,E01032969,600,100,345,57.5,197,32.8,50,8.3,7,1.2,1,0.2
North Northamptonshire 013G,E01032970,789,100,446,56.5,230,29.2,98,12.4,15,1.9,0,0
North Northamptonshire 013H,E01032971,558,100,276,49.5,208,37.3,61,10.9,13,2.3,0,0
North Northamptonshire 014A,E01027123,677,100,296,43.7,262,38.7,96,14.2,21,3.1,2,0.3
North Northamptonshire 014B,E01027125,739,100,441,59.7,222,30,72,9.7,4,0.5,0,0
North Northamptonshire 014C,E01027126,1115,100,561,50.3,360,32.3,166,14.9,26,2.3,2,0.2
North Northamptonshire 014D,E01035411,680,100,303,44.6,220,32.4,116,17.1,38,5.6,3,0.4
North Northamptonshire 014E,E01035412,566,100,272,48.1,178,31.4,89,15.7,24,4.2,3,0.5
North Northamptonshire 015A,E01027079,780,100,392,50.3,272,34.9,94,12.1,18,2.3,4,0.5
North Northamptonshire 015B,E01027080,762,100,410,53.8,271,35.6,69,9.1,12,1.6,0,0
North Northamptonshire 015C,E01027087,490,100,252,51.4,184,37.6,45,9.2,9,1.8,0,0
North Northamptonshire 015D,E01027088,482,100,287,59.5,140,29,53,11,2,0.4,0,0
North Northamptonshire 015E,E01027089,847,100,442,52.2,298,35.2,94,11.1,13,1.5,0,0
North Northamptonshire 016A,E01027081,620,100,232,37.4,223,36,124,20,41,6.6,0,0
North Northamptonshire 016B,E01027082,790,100,312,39.5,282,35.7,146,18.5,47,5.9,3,0.4
North Northamptonshire 016C,E01027083,660,100,230,34.8,223,33.8,144,21.8,61,9.2,2,0.3
North Northamptonshire 016D,E01027127,799,100,235,29.4,286,35.8,190,23.8,86,10.8,2,0.3
North Northamptonshire 016E,E01027128,670,100,264,39.4,225,33.6,131,19.6,46,6.9,4,0.6
North Northamptonshire 017A,E01027105,1114,100,483,43.4,398,35.7,172,15.4,60,5.4,1,0.1
North Northamptonshire 017B,E01027106,905,100,380,42,329,36.4,137,15.1,55,6.1,4,0.4
North Northamptonshire 017C,E01027111,950,100,455,47.9,324,34.1,124,13.1,46,4.8,1,0.1
North Northamptonshire 017D,E01027112,1002,100,469,46.8,341,34,145,14.5,46,4.6,1,0.1
North Northamptonshire 018A,E01027104,1146,100,458,40,404,35.3,204,17.8,73,6.4,7,0.6
North Northamptonshire 018B,E01027113,1008,100,512,50.8,308,30.6,145,14.4,39,3.9,4,0.4
North Northamptonshire 018C,E01027115,800,100,466,58.2,248,31,73,9.1,12,1.5,1,0.1
North Northamptonshire 018D,E01027116,800,100,515,64.4,222,27.8,53,6.6,9,1.1,1,0.1
North Northamptonshire 018E,E01027117,617,100,329,53.3,203,32.9,71,11.5,14,2.3,0,0
North Northamptonshire 018F,E01035413,592,100,199,33.6,205,34.6,134,22.6,51,8.6,3,0.5
North Northamptonshire 018G,E01035414,642,100,221,34.4,242,37.7,138,21.5,39,6.1,2,0.3
North Northamptonshire 019A,E01027096,458,100,225,49.1,161,35.2,60,13.1,12,2.6,0,0
North Northamptonshire 019B,E01027097,624,100,343,55,198,31.7,79,12.7,4,0.6,0,0
North Northamptonshire 019C,E01027098,481,100,240,49.9,176,36.6,54,11.2,11,2.3,0,0
